"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"Z84C0010VEG","Zilog","269-3899-ND","CPU","","Tube","Active","1","7.64000","$7.64","775","Not Available","IC MPU Z80 10MHZ 44PLCC","ROHS3 Compliant","Lead free","REACH Unaffected"
"A-CCS 044-Z-T","Assmann WSW Components","123-A-CCS044-Z-T-ND","CPU socket","","Tube","Active","1","1.67000","$1.67","3476","20 Weeks","CONN SOCKET PLCC 44POS TIN","ROHS3 Compliant","Lead free","REACH Unaffected"
"583718-3","TE Connectivity AMP Connectors","A114058-ND","Cartridge slot","","Box","Active","1","6.01000","$6.01","404","Not Available","CONN CARDEDGE HSG 30POS .100 BLK","RoHS Compliant","Lead free","Not Available"
"CRGCQ0805F1K0","TE Connectivity Passive Product","A129749CT-ND","1k 0805","","Cut Tape (CT)","Active","2","0.15000","$0.30","60446","Not Available","CRGCQ 0805 1K0 1%","RoHS Compliant","Lead free","Not Available"
"CRGCQ0805F3K3","TE Connectivity Passive Product","A129755CT-ND","3k3 0805","","Cut Tape (CT)","Active","7","0.15000","$1.05","14826","Not Available","CRGCQ 0805 3K3 1%","RoHS Compliant","Lead free","Not Available"
"ICS-628-T","Adam Tech","2057-ICS-628-T-ND","BIOS DIP28 socket","","Tube","Active","1","0.41000","$0.41","673","9 Weeks","IC SOCKET, DIP, 28P 2.54MM PITCH","ROHS3 Compliant","Lead free","Not Available"
"C0805C104Z5VACTU","KEMET","399-1177-1-ND","decoupling cap","","Cut Tape (CT)","Active","25","0.08200","$2.05","1042525","8 Weeks","CAP CER 0.1UF 50V Y5V 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"SN74LS138DR","Texas Instruments","296-14883-1-ND","","","Cut Tape (CT)","Active","2","1.19000","$2.38","6849","6 Weeks","IC 3-8 LINE DECODER/DEMUX 16SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"74HCT02D,653","Nexperia USA Inc.","1727-2829-1-ND","","","Cut Tape (CT)","Active","1","0.55000","$0.55","6041","4 Weeks","IC GATE NOR 4CH 2-INP 14SO","ROHS3 Compliant","Lead free","REACH Unaffected"
"74HCT04D,653","Nexperia USA Inc.","1727-2830-1-ND","","","Cut Tape (CT)","Active","3","0.56000","$1.68","3093","4 Weeks","IC INVERTER 6CH 6-INP 14SO","ROHS3 Compliant","Lead free","REACH Unaffected"
"ED40DT","On Shore Technology Inc.","ED3048-5-ND","TMS9918 socket","","Tube","Active","1","0.67000","$0.67","4337","8 Weeks","CONN IC DIP SOCKET 40POS TIN","ROHS3 Compliant","Lead free","REACH Unaffected"
"CRGCQ0805F470R","TE Connectivity Passive Product","A129745CT-ND","","","Cut Tape (CT)","Active","1","0.15000","$0.15","10680","Not Available","CRGCQ 0805 470R 1%","RoHS Compliant","Lead free","Not Available"
"RCJ-017","CUI Devices","CP-1466-ND","av jacks","","Bag","Active","2","1.04000","$2.08","20260","11 Weeks","CONN RCA JACK MONO 3.2MM R/A","RoHS Compliant","Lead free","Not Available"
"RMCF0805ZT0R00","Stackpole Electronics Inc","RMCF0805ZT0R00CT-ND","","","Cut Tape (CT)","Active","1","0.15000","$0.15","504577","17 Weeks","RES 0 OHM JUMPER 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"2N4401-AP","Micro Commercial Co","2N4401-APCT-ND","","","Cut Tape (CT)","Active","1","0.27000","$0.27","6244","12 Weeks","TRANS NPN 40V TO92","ROHS3 Compliant","Lead free","REACH Unaffected"
"RMCF0805JT75R0","Stackpole Electronics Inc","RMCF0805JT75R0CT-ND","","","Cut Tape (CT)","Active","1","0.15000","$0.15","324550","17 Weeks","RES 75 OHM 5% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"HZ1206E601R-10","Laird-Signal Integrity Products","240-2415-1-ND","","","Cut Tape (CT)","Active","1","0.14000","$0.14","53","11 Weeks","FERRITE BEAD 600 OHM 1206 1LN","RoHS Compliant","Lead free","REACH Unaffected"
"74HCT574D,653","Nexperia USA Inc.","1727-2856-1-ND","","","Cut Tape (CT)","Active","3","0.82000","$2.46","4974","4 Weeks","IC FF D-TYPE SNGL 8BIT 20SO","ROHS3 Compliant","Lead free","REACH Unaffected"
"CR0805-JW-472ELF","Bourns Inc.","CR0805-JW-472ELFCT-ND","","","Cut Tape (CT)","Active","1","0.15000","$0.15","11642","14 Weeks","RES SMD 4.7K OHM 5% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"ECE-A1AKA220","Panasonic Electronic Components","P804-ND","","","Bulk","Active","1","0.31000","$0.31","564","15 Weeks","CAP ALUM 22UF 20% 10V RADIAL","RoHS Compliant","Lead free","Not Available"
"Y17P11141FP","C&K","CKN10276-ND","power switch","","Bulk","Active","1","1.64000","$1.64","3346","11 Weeks","SWITCH PUSH DPST 0.1A 32V","ROHS3 Compliant","Lead free","REACH Unaffected"
"PJ-102AH","CUI Devices","CP-102AH-ND","power jack","","Tray","Active","1","1.09000","$1.09","86379","11 Weeks","CONN PWR JACK 2X5.5MM SOLDER","RoHS Compliant","Lead free","Not Available"
"RMCF0805JT330R","Stackpole Electronics Inc","RMCF0805JT330RCT-ND","","","Cut Tape (CT)","Active","1","0.15000","$0.15","352177","17 Weeks","RES 330 OHM 5% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"DMN6075S-7","Diodes Incorporated","DMN6075S-7DICT-ND","","","Cut Tape (CT)","Active","1","0.49000","$0.49","303720","23 Weeks","MOSFET N-CH 60V 2A SOT23-3","ROHS3 Compliant","Lead free","REACH Unaffected"
"RMCF0805JT150R","Stackpole Electronics Inc","RMCF0805JT150RCT-ND","","","Cut Tape (CT)","Active","1","0.15000","$0.15","179415","17 Weeks","RES 150 OHM 5% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RL201-TP","Micro Commercial Co","RL201-TPCT-ND","","","Cut Tape (CT)","Obsolete","1","0.14000","$0.14","379","Not Available","DIODE GEN PURP 50V 2A DO15","Not Available","Lead free","REACH Unaffected"
"CR0805-JW-103ELF","Bourns Inc.","CR0805-JW-103ELFCT-ND","","","Cut Tape (CT)","Active","2","0.15000","$0.30","184101","14 Weeks","RES SMD 10K OHM 5% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"PTS645SM43SMTR92 LFS","C&K","CKN9112TR-ND","reset switch","","Tape & Reel (TR)","Active","1","0.00000","$0.00","71000","16 Weeks","SWITCH TACTILE SPST-NO 0.05A 12V","ROHS3 Compliant","Lead free","REACH Unaffected"
"C0805C105Z4VACTU","KEMET","399-8011-1-ND","","","Cut Tape (CT)","Active","4","0.17000","$0.68","82296","8 Weeks","CAP CER 1UF 16V Y5V 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
