"Customer Reference","Component Name","Value","Footprint","Part Number","Quantity","Description"
"C1, C2, C4, C5, C6, C7, C8, C9, C10, C11, C13, C15, C16, C17, C18, C19, C20, C22, C24, C27, C29, C33, C34","C","0.1µF","Capacitors_SMD:C_0805_HandSoldering","1276-1099-1-ND","23","Unpolarized capacitor"
"C3, C32","C","47nF","Capacitors_SMD:C_0805_HandSoldering","732-8059-1-ND","2","Unpolarized capacitor"
"C12","CP","22µF","Capacitors_ThroughHole:CP_Radial_D5.0mm_P2.50mm","493-1037-ND","1","Polarized capacitor"
"C14, C28","C_Small","10µF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1276-1298-1-ND","2","Unpolarized capacitor, small symbol"
"C21","C","1µF","Capacitors_SMD:C_0805_HandSoldering","1276-2926-1-ND","1","Unpolarized capacitor"
"C23, C26","C_Small","56pF","Capacitors_SMD:C_0805_HandSoldering","732-7817-1-ND","2","Unpolarized capacitor, small symbol"
"C25","CP1_Small","220µF","Capacitors_ThroughHole:CP_Radial_D6.3mm_P2.50mm","493-15121-ND","1","Polarized capacitor, small US symbol"
"C30, C31","C","100pF","Capacitors_SMD:C_0805_HandSoldering","732-12161-1-ND","2","Unpolarized capacitor"
"C35, C36, C37, C38","C","10nF","Capacitors_SMD:C_0805_HandSoldering","399-C0805X103K1RAC3316CT-ND","4","Unpolarized capacitor"
"D1","LED","LED","LEDs:LED_D3.0mm","1497-1022-ND","1","Light emitting diode"
"D3, D4","1N4001","1N4001","Diodes_ThroughHole:D_DO-41_SOD81_P2.54mm_Vertical_AnodeUp","641-1310-1-ND","2","50V 1A General Purpose Rectifier Diode, DO-41"
"F2","Fuse_Small","2A","0251002.MRT1L:0251002.MRT1L","F3171CT-ND","1","Fuse, small symbol"
"FB1","Ferrite_Bead_Small","Bead","Choke_SMD:Choke_SMD_1206_Handsoldering","283-MFBW1V3216-310-RCT-ND","1","Ferrite bead, small symbol"
"J1","Conn_02x15_Odd_Even","Cartridge Slot","LeakyChips:Sullins_Cart_Slot","S3305-ND","1","Generic connector, double row, 02x15, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)"
"J2","RCJ-017","Composite video","Jacks:CUI_RCJ-017","CP-1403-ND‎","1",""
"J3","USB-B1HSB6","USB-B1HSB6","OST_USB-B1HSB6","ED2982-ND","1",""
"J4","RCJ-017","RCJ-013","Jacks:CUI_RCJ-017","CP-1402-ND‎","1",""
"J5","DB9_Male","Controller Port 2","Jacks:A-DS 09 A-KG-T2S","AE10968-ND","1","9-pin male D-SUB connector"
"J6","DB9_Male","Controller Port 1","Jacks:A-DS 09 A-KG-T2S","AE10968-ND","1","9-pin male D-SUB connector"
"Q1","Q_NPN_EBC","2n4401","TO_SOT_Packages_THT:TO-92_Inline_Wide","2N4401TFCT-ND","1","NPN transistor, emitter/base/collector"
"Q2","Q_NJFET_GSD","Q_NJFET_GSD","TO_SOT_Packages_SMD:SOT-23_Handsoldering","DMN6075S-7DICT-ND","1","N-JFET transistor, gate/source/drain"
"Q4, Q5","2N3904","2N3904","TO_SOT_Packages_THT:TO-92_Inline_Wide","2N3904TAFSCT-ND","2","0.2A Ic, 40V Vce, Small Signal NPN Transistor, TO-92"
"R1","R_Small_US","2.7kΩ","Resistors_SMD:R_0805_HandSoldering","RMCF0805JT2K70CT-ND","1","Resistor, small US symbol"
"R2, R3, R9, R10, R14, R19, R44","R_Small_US","3.3kΩ","Resistors_SMD:R_0805_HandSoldering","RMCF0805JT3K30CT-ND","7","Resistor, small US symbol"
"R4","R_Small_US","0Ω","Resistors_SMD:R_0805_HandSoldering","RMCF0805ZT0R00CT-ND","1","Resistor, small US symbol"
